NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Doposażenie siłowni zewnętrznej przy ul. Dalekiej 11 w dodatkowe urządzenia,50.8720614268,20.6458747387,7475074.879,5637478.572,Siłownia zewnętrzna przy ul. Dalekiej 11,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2093
"Modernizacja ul. Wiejskiej- wymiana nawierzchni, utwardzenie pobocza",50.8741873079,20.6467330456,7475136.421,5637714.759,ul. Wiejska (cała),,ZADANIE ODRZUCONE,
Sportowo - rekreacyjny plac do kształtowania sprawności ogólnej,50.8798603631,20.6096220016,7472527.821,5638358.961,"266101_1.0009.1298, Osiedle Czarnów",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1168
Zespół boisk sportowych wielofunkcyjnych przy ZSP nr 2 w Kielcach,50.8629627110,20.6233468652,7473484.097,5636474.305,"obręb 023, nr działki 9/1, 9/2 Al.Legionów 4, Kielce",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5113
Boisko sportowe ogólnie dostępne dla dzieci i młodzieży wraz z placem zabaw,50.8590975471,20.6552517414,7475728.147,5636033.390,"Kielce, ul.Prosta, lokalizacja oznaczona w ewidencji gruntów miasta Kielce (obręb 0025) jako część działki nr 312",,ZADANIE ODRZUCONE,
Budowa siłowni przy Zespole Szkół Ekonomicznych im.Oskara Langego w Kielcach,50.8571809300,20.6274747849,7473771.453,5635829.686,"Kielce, ul.Langiewicza 18, działka nr 415, 0024",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3917
Budowa boisk przy Zespole Szkół Ekonomicznych im.Oskara Langego w Kielcach,50.8572452700,20.6277108192,7473788.107,5635836.760,"Kielce, ul.Langiewicza 18, działka nr 415, 0024",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3954
"Modernizacja ulicy Konarskiego wraz z zatokami parkingowymi, na odcinku od ulicy Źródłowej do ulicy Zielińskiego, polegająca na poszerzeniu jezdni i chodnika oraz wymianie lamp oświetleniowych",50.8670408481,20.6448501348,7475000.077,5636920.445,"Kielce, ul.Konarskiego, na odcinku od ulicy Źródłowej do ulicy Zielińskiego, obręb nr 0017, działki nr 667/4, 668/21, 666/45, 669/12, 667/1, 667/2, 667/6.",,ZADANIE ODRZUCONE,
Budowa Wodnego Placu Zabaw,50.8795049712,20.6293684244,7473917.239,5638312.269,Dolina Silnicy,,ZADANIE ODRZUCONE,
Budowa wielofunkcyjnego boiska sportowego,50.8634011829,20.6489217281,7475284.762,5636514.211,obręb 0017 działka nr 1413/2 (ul.Szymanowskiego),Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,613
